   1 	    25.6473 
   2 	    28.3573 
   3 	    31.2060 
   4 	    33.9424 
   5 	    36.7780 
   6 	    39.5567 
   7 	    42.2892 
   8 	    45.0178 
   9 	    47.8549 
  10 	    50.6278 
  11 	    53.4329 
  12 	    56.1330 
  13 	    58.9540 
  14 	    61.7365 
  15 	    64.4376 
  16 	    67.2331 
  17 	    70.0146 
  18 	    72.7687 
  19 	    75.5077 
  20 	    78.3046 
  21 	    81.0042 
  22 	    83.6690 
  23 	    86.6374 
  24 	    89.2688 
  25 	    92.1940 
  26 	    94.8158 
  27 	    97.4165 
